TIME(2023/11/07 10:00:43.203),FPOGD,FPOGID,LPMM,RPMM,AOI,
0.06079,0.06079,1,3.97046,3.51379,,
0.65039,0.58313,2,4.28282,3.82309,,
1.36682,0.70947,3,4.11505,3.58147,,
1.72168,0.32764,4,3.94853,3.50376,,
2.09717,0.36829,5,3.98123,3.56443,,
2.81396,0.71057,6,3.54698,3.47208,,
3.11536,0.27307,7,3.94149,3.94478,,
3.32959,0.18762,8,3.44477,3.24102,,
3.63782,0.30139,9,3.80795,4.04756,ST-Full-W12,
3.77185,0.12720,10,4.28154,4.04888,ST-Full-W12,
4.07288,0.29480,11,4.43897,4.04737,ST-Full-W2,
4.37439,0.29419,12,4.21574,4.09348,ST-Full-W3,
4.59583,0.21448,13,4.15016,3.83437,ST-Full-W12,
4.68945,0.08728,14,2.57956,3.87030,ST-Full,
5.03052,0.21375,15,4.37590,4.20107,ST-Full-W3,
5.67395,0.63611,16,4.31346,4.22243,ST-Full-W4,
6.09570,0.41479,17,4.52314,4.03167,ST-Full-W5,
6.53125,0.42883,18,4.47948,4.20873,ST-Full-W6,
6.74536,0.20752,19,4.35835,3.99315,ST-Full-W7,
7.02698,0.27466,20,4.27530,4.21454,ST-Full-W6-W7,
7.26819,0.23425,21,4.43722,4.11548,ST-Full-W8,
8.09229,0.81738,22,4.29741,4.04879,ST-Full-W9,
8.37366,0.27478,23,4.36776,4.41173,ST-Full-W9,
8.59448,0.19434,24,4.43977,4.05779,ST-Full-W10,
9.05664,0.45532,25,4.31374,3.92881,ST-Full-W10,
9.19067,0.12756,26,4.34908,3.92043,ST-Full-W11,
9.34473,0.14722,27,4.22181,3.85525,ST-Full-W11,
9.69324,0.14087,28,4.59235,3.98678,ST-Full,
9.93384,0.19434,29,4.43947,4.04324,ST-Full,
10.16846,0.22766,30,4.68184,4.10439,ST-Full-W12,
10.31592,0.14062,31,4.26225,3.92068,ST-Full-W12,
11.74280,1.41992,32,4.22999,3.84197,ST-Full-W12,
12.13757,0.38794,33,4.23469,3.96074,ST-Full-W12,
12.40601,0.26172,34,4.23606,3.74389,ST-Full-W12,
12.71411,0.30139,35,4.35997,3.88924,ST-Full-W13,
12.90112,0.18066,36,4.37141,3.77672,ST-Full-W13,
13.11560,0.20752,37,4.26389,3.73998,ST-Full-W13,
13.32361,0.20117,38,4.34576,3.91666,ST-Full-W14,
14.33472,1.00427,39,4.29968,3.83722,ST-Full-W13,
14.73010,0.38770,40,4.22376,4.06294,ST-Full-W13-W14,
14.95752,0.20044,41,4.47114,4.06612,ST-Full-W12,
15.18555,0.22083,42,4.50052,3.99788,ST-Full-W12,
15.43335,0.24109,43,4.50451,4.03836,ST-Full,
15.72815,0.28809,44,4.32311,4.10657,ST-Full,
16.02295,0.26770,45,4.47268,4.04551,ST-Full-W1,
16.35120,0.32129,46,4.47172,4.35647,ST-Full-W12,
16.73303,0.17310,47,4.42127,4.15884,ST-Full-W12,
16.99438,0.25452,48,4.44756,4.02708,ST-Full-W2,
17.28223,0.28125,49,4.58469,4.12665,ST-Full-W3,
17.46350,0.17432,50,4.45077,3.99439,ST-Full-W12,
17.65735,0.08716,51,4.57882,3.69234,,
17.78479,0.10107,52,4.67074,4.02217,,
17.93188,0.14038,53,4.80150,4.40662,,
18.19348,0.23499,54,4.67615,4.25190,,
18.45459,0.25476,55,4.72032,4.24201,,
19.12439,0.66309,56,4.70327,4.29675,,
19.41919,0.26794,57,4.87540,4.30220,,
19.54614,0.12048,58,4.87191,4.42056,,
19.73364,0.16089,59,4.72296,4.45565,,
19.98181,0.22107,60,4.84658,4.24612,,
20.12207,0.13379,61,4.90928,4.41280,,
20.34290,0.15369,62,4.82833,4.41719,,
20.60425,0.25391,63,4.75737,4.29694,,
20.66504,0.05396,64,4.82104,4.38144,,
